x,y
29.7419,16.1116
29.7972,16.1392
29.8524,16.1669
29.9076,16.1945
29.9628,16.2221
30.018,16.2496
30.0731,16.2772
30.1283,16.3047
30.1834,16.3322
30.2384,16.3597
30.2935,16.3871
30.3485,16.4145
30.4035,16.442
30.4585,16.4694
30.5135,16.4967
30.5684,16.5241
30.6234,16.5514
30.6783,16.5787
30.7331,16.606
30.788,16.6333
30.8428,16.6605
30.8976,16.6877
30.9524,16.715
31.0072,16.7421
31.0619,16.7693
31.1166,16.7964
31.1713,16.8236
31.226,16.8507
31.2807,16.8777
31.3353,16.9048
31.3899,16.9318
31.4445,16.9589
31.4991,16.9859
31.5536,17.0128
31.6081,17.0398
31.6626,17.0667
31.7171,17.0936
31.7715,17.1205
31.826,17.1474
31.8804,17.1742
31.9348,17.2011
31.9891,17.2279
32.0435,17.2547
32.0978,17.2814
32.1521,17.3082
32.2064,17.3349
32.2606,17.3616
32.3149,17.3883
32.3691,17.415
32.4233,17.4416
32.4774,17.4683
32.5316,17.4949
32.5857,17.5214
32.6398,17.548
32.6939,17.5745
32.748,17.6011
32.802,17.6276
32.856,17.6541
32.91,17.6805
32.964,17.707
33.0179,17.7334
33.0719,17.7598
33.1258,17.7862
33.1797,17.8125
33.2335,17.8389
33.2874,17.8652
33.3412,17.8915
33.395,17.9177
33.4488,17.944
33.5025,17.9702
33.5563,17.9965
33.61,18.0227
33.6637,18.0488
33.7174,18.075
33.771,18.1011
33.8246,18.1272
33.8782,18.1533
33.9318,18.1794
33.9854,18.2055
34.0389,18.2315
34.0925,18.2575
34.146,18.2835
34.1994,18.3095
34.2529,18.3354
34.3063,18.3614
34.3598,18.3873
34.4132,18.4132
34.4665,18.4391
34.5199,18.4649
34.5732,18.4908
34.6265,18.5166
34.6798,18.5424
34.7331,18.5681
34.7863,18.5939
34.8396,18.6196
34.8928,18.6453
34.946,18.671
34.9991,18.6967
35.0523,18.7224
35.1054,18.748
35.1585,18.7736
35.2116,18.7992
35.2646,18.8248
35.3177,18.8503
35.3707,18.8759
35.4237,18.9014
35.4767,18.9269
35.5296,18.9524
35.5826,18.9778
35.6355,19.0033
35.6884,19.0287
35.7412,19.0541
35.7941,19.0795
35.8469,19.1048
35.8997,19.1302
35.9525,19.1555
36.0053,19.1808
36.058,19.206
36.1108,19.2313
36.1635,19.2565
36.2162,19.2818
36.2688,19.307
36.3215,19.3321
36.3741,19.3573
36.4267,19.3825
36.4793,19.4076
36.5319,19.4327
36.5844,19.4578
36.6369,19.4828
36.6894,19.5079
36.7419,19.5329
36.7944,19.5579
36.8468,19.5829
36.8992,19.6078
36.9516,19.6328
37.004,19.6577
37.0564,19.6826
37.1087,19.7075
37.1611,19.7324
37.2134,19.7572
37.2656,19.7821
37.3179,19.8069
37.3701,19.8317
37.4224,19.8564
37.4746,19.8812
37.5267,19.9059
37.5789,19.9306
37.631,19.9553
37.6832,19.98
37.7353,20.0047
37.7873,20.0293
37.8394,20.0539
37.8914,20.0785
37.9435,20.1031
37.9955,20.1277
38.0474,20.1522
38.0994,20.1767
38.1513,20.2012
38.2033,20.2257
38.2552,20.2502
38.307,20.2746
38.3589,20.299
38.4107,20.3234
38.4626,20.3478
38.5144,20.3722
38.5661,20.3966
38.6179,20.4209
38.6696,20.4452
38.7214,20.4695
38.7731,20.4938
38.8248,20.518
38.8764,20.5422
38.9281,20.5665
38.9797,20.5907
39.0313,20.6148
39.0829,20.639
39.1344,20.6631
39.186,20.6873
39.2375,20.7114
39.289,20.7354
39.3405,20.7595
39.392,20.7835
39.4434,20.8076
39.4948,20.8316
39.5463,20.8556
39.5976,20.8795
39.649,20.9035
39.7004,20.9274
39.7517,20.9513
39.803,20.9752
39.8543,20.9991
39.9056,21.023
39.9568,21.0468
40.0081,21.0706
40.0593,21.0944
40.1105,21.1182
40.1616,21.142
40.2128,21.1657
40.2639,21.1894
40.3151,21.2131
40.3662,21.2368
40.4172,21.2605
40.4683,21.2841
40.5193,21.3078
40.5704,21.3314
40.6214,21.355
40.6724,21.3786
40.7233,21.4021
40.7743,21.4257
40.8252,21.4492
40.8761,21.4727
40.927,21.4962
40.9779,21.5196
41.0287,21.5431
41.0796,21.5665
41.1304,21.5899
41.1812,21.6133
41.2319,21.6367
41.2827,21.66
41.3334,21.6834
41.3842,21.7067
41.4349,21.73
41.4855,21.7532
41.5362,21.7765
41.5868,21.7998
41.6375,21.823
41.6881,21.8462
41.7387,21.8694
41.7892,21.8925
41.8398,21.9157
41.8903,21.9388
41.9408,21.9619
41.9913,21.985
42.0418,22.0081
42.0922,22.0312
42.1427,22.0542
42.1931,22.0772
42.2435,22.1002
42.2939,22.1232
42.3442,22.1462
42.3946,22.1691
42.4449,22.1921
42.4952,22.215
42.5455,22.2379
42.5958,22.2607
42.646,22.2836
42.6963,22.3064
42.7465,22.3293
42.7967,22.3521
42.8469,22.3748
42.897,22.3976
42.9472,22.4204
42.9973,22.4431
43.0474,22.4658
43.0975,22.4885
43.1475,22.5112
43.1976,22.5338
43.2476,22.5565
43.2976,22.5791
43.3476,22.6017
43.3976,22.6243
43.4476,22.6468
43.4975,22.6694
43.5474,22.6919
43.5973,22.7144
43.6472,22.7369
43.6971,22.7594
43.7469,22.7819
43.7967,22.8043
43.8466,22.8267
43.8964,22.8491
43.9461,22.8715
43.9959,22.8939
44.0456,22.9162
44.0953,22.9386
44.1451,22.9609
44.1947,22.9832
44.2444,23.0055
44.2941,23.0277
44.3437,23.05
44.3933,23.0722
44.4429,23.0944
44.4925,23.1166
44.542,23.1388
44.5916,23.1609
44.6411,23.1831
44.6906,23.2052
44.7401,23.2273
44.7896,23.2494
44.839,23.2714
44.8884,23.2935
44.9379,23.3155
44.9873,23.3375
45.0366,23.3595
45.086,23.3815
45.1353,23.4034
45.1847,23.4254
45.234,23.4473
45.2833,23.4692
45.3325,23.4911
45.3818,23.513
45.431,23.5348
45.4803,23.5567
45.5295,23.5785
45.5787,23.6003
45.6278,23.6221
45.677,23.6438
45.7261,23.6656
45.7752,23.6873
45.8243,23.709
45.8734,23.7307
45.9225,23.7524
45.9715,23.7741
46.0205,23.7957
46.0695,23.8173
46.1185,23.8389
46.1675,23.8605
46.2165,23.8821
46.2654,23.9036
46.3143,23.9252
46.3632,23.9467
46.4121,23.9682
46.461,23.9897
46.5098,24.0111
46.5587,24.0326
46.6075,24.054
46.6563,24.0754
46.7051,24.0968
46.7538,24.1182
46.8026,24.1396
46.8513,24.1609
46.9,24.1823
46.9487,24.2036
46.9974,24.2249
47.0461,24.2461
47.0947,24.2674
47.1434,24.2886
47.192,24.3099
47.2406,24.3311
47.2891,24.3523
47.3377,24.3734
47.3862,24.3946
47.4348,24.4157
47.4833,24.4368
47.5318,24.4579
47.5802,24.479
47.6287,24.5001
47.6771,24.5211
47.7256,24.5422
47.774,24.5632
47.8223,24.5842
47.8707,24.6052
47.9191,24.6261
47.9674,24.6471
48.0157,24.668
48.064,24.6889
48.1123,24.7098
48.1606,24.7307
48.2088,24.7516
48.2571,24.7724
48.3053,24.7932
48.3535,24.8141
48.4017,24.8349
48.4498,24.8556
48.498,24.8764
48.5461,24.8971
48.5943,24.9179
48.6424,24.9386
48.6904,24.9593
48.7385,24.9799
48.7866,25.0006
48.8346,25.0212
48.8826,25.0419
48.9306,25.0625
48.9786,25.0831
49.0266,25.1036
49.0745,25.1242
49.1224,25.1447
49.1704,25.1652
49.2183,25.1857
49.2661,25.2062
49.314,25.2267
49.3619,25.2472
49.4097,25.2676
49.4575,25.288
49.5053,25.3084
49.5531,25.3288
49.6009,25.3492
49.6486,25.3695
49.6963,25.3899
49.7441,25.4102
49.7918,25.4305
49.8394,25.4508
49.8871,25.471
49.9348,25.4913
49.9824,25.5115
50.03,25.5317
50.0776,25.5519
50.1252,25.5721
50.1728,25.5923
50.2203,25.6125
50.2679,25.6326
50.3154,25.6527
50.3629,25.6728
50.4104,25.6929
50.4579,25.713
50.5053,25.733
50.5528,25.753
