t,v(t)
13.1,-124.696
13.12,-124.88
13.14,-125.064
13.16,-125.248
13.18,-125.432
13.2,-125.616
13.22,-125.8
13.24,-125.984
13.26,-126.168
13.28,-126.352
13.3,-126.536
13.32,-126.72
13.34,-126.903
13.36,-127.087
13.38,-127.271
13.4,-127.455
13.42,-127.638
13.44,-127.822
13.46,-128.006
13.48,-128.189
13.5,-128.373
13.52,-128.556
13.54,-128.74
13.56,-128.923
13.58,-129.107
13.6,-129.29
13.62,-129.473
13.64,-129.657
13.66,-129.84
13.68,-130.023
13.7,-130.206
13.72,-130.39
13.74,-130.573
13.76,-130.756
13.78,-130.939
13.8,-131.122
13.82,-131.305
13.84,-131.488
13.86,-131.671
13.88,-131.854
13.9,-132.037
13.92,-132.22
13.94,-132.403
13.96,-132.586
13.98,-132.768
14,-132.951
14.02,-133.134
14.04,-133.317
14.06,-133.499
14.08,-133.682
14.1,-133.865
14.12,-134.047
14.14,-134.23
14.16,-134.412
14.18,-134.595
14.2,-134.777
14.22,-134.959
14.24,-135.142
14.26,-135.324
14.28,-135.506
14.3,-135.689
14.32,-135.871
14.34,-136.053
14.36,-136.235
14.38,-136.417
14.4,-136.6
14.42,-136.782
14.44,-136.964
14.46,-137.146
14.48,-137.328
14.5,-137.51
14.52,-137.692
14.54,-137.873
14.56,-138.055
14.58,-138.237
14.6,-138.419
14.62,-138.601
14.64,-138.782
14.66,-138.964
14.68,-139.146
14.7,-139.327
14.72,-139.509
14.74,-139.69
14.76,-139.872
14.78,-140.053
14.8,-140.235
14.82,-140.416
14.84,-140.597
14.86,-140.779
14.88,-140.96
14.9,-141.141
14.92,-141.323
14.94,-141.504
14.96,-141.685
14.98,-141.866
15,-142.047
15.02,-142.228
15.04,-142.409
15.06,-142.59
15.08,-142.771
15.1,-142.952
15.12,-143.133
15.14,-143.314
15.16,-143.495
15.18,-143.675
15.2,-143.856
15.22,-144.037
15.24,-144.217
15.26,-144.398
15.28,-144.579
15.3,-144.759
15.32,-144.94
15.34,-145.12
15.36,-145.301
15.38,-145.481
15.4,-145.661
15.42,-145.842
15.44,-146.022
15.46,-146.202
15.48,-146.383
15.5,-146.563
15.52,-146.743
15.54,-146.923
15.56,-147.103
15.58,-147.283
15.6,-147.463
15.62,-147.643
15.64,-147.823
15.66,-148.003
15.68,-148.183
15.7,-148.363
15.72,-148.542
15.74,-148.722
15.76,-148.902
15.78,-149.082
15.8,-149.261
15.82,-149.441
15.84,-149.62
15.86,-149.8
15.88,-149.979
15.9,-150.159
15.92,-150.338
15.94,-150.518
15.96,-150.697
15.98,-150.876
16,-151.056
16.02,-151.235
16.04,-151.414
16.06,-151.593
16.08,-151.772
16.1,-151.951
16.12,-152.13
16.14,-152.309
16.16,-152.488
16.18,-152.667
16.2,-152.846
16.22,-153.025
16.24,-153.204
16.26,-153.383
16.28,-153.561
16.3,-153.74
16.32,-153.919
16.34,-154.097
16.36,-154.276
16.38,-154.454
16.4,-154.633
16.42,-154.811
16.44,-154.99
16.46,-155.168
16.48,-155.347
16.5,-155.525
16.52,-155.703
16.54,-155.881
16.56,-156.059
16.58,-156.238
16.6,-156.416
16.62,-156.594
16.64,-156.772
16.66,-156.95
16.68,-157.128
16.7,-157.306
16.72,-157.484
16.74,-157.661
16.76,-157.839
16.78,-158.017
16.8,-158.195
16.82,-158.372
16.84,-158.55
16.86,-158.727
16.88,-158.905
16.9,-159.083
16.92,-159.26
16.94,-159.437
16.96,-159.615
16.98,-159.792
17,-159.969
17.02,-160.147
17.04,-160.324
17.06,-160.501
17.08,-160.678
17.1,-160.855
17.12,-161.032
17.14,-161.209
17.16,-161.386
17.18,-161.563
17.2,-161.74
17.22,-161.917
17.24,-162.094
17.26,-162.271
17.28,-162.447
17.3,-162.624
17.32,-162.801
17.34,-162.977
17.36,-163.154
17.38,-163.33
17.4,-163.507
17.42,-163.683
17.44,-163.86
17.46,-164.036
17.48,-164.212
17.5,-164.388
17.52,-164.565
17.54,-164.741
17.56,-164.917
17.58,-165.093
17.6,-165.269
17.62,-165.445
17.64,-165.621
17.66,-165.797
17.68,-165.973
17.7,-166.149
17.72,-166.324
17.74,-166.5
17.76,-166.676
17.78,-166.852
17.8,-167.027
17.82,-167.203
17.84,-167.378
17.86,-167.554
17.88,-167.729
17.9,-167.905
17.92,-168.08
17.94,-168.255
17.96,-168.43
17.98,-168.606
18,-168.781
18.02,-168.956
18.04,-169.131
18.06,-169.306
18.08,-169.481
18.1,-169.656
18.12,-169.831
18.14,-170.006
18.16,-170.181
18.18,-170.355
18.2,-170.53
18.22,-170.705
18.24,-170.88
18.26,-171.054
18.28,-171.229
18.3,-171.403
18.32,-171.578
18.34,-171.752
18.36,-171.926
18.38,-172.101
18.4,-172.275
18.42,-172.449
18.44,-172.623
18.46,-172.798
18.48,-172.972
18.5,-173.146
18.52,-173.32
18.54,-173.494
18.56,-173.668
18.58,-173.842
18.6,-174.015
18.62,-174.189
18.64,-174.363
18.66,-174.537
18.68,-174.71
18.7,-174.884
18.72,-175.057
18.74,-175.231
18.76,-175.404
18.78,-175.578
18.8,-175.751
18.82,-175.924
18.84,-176.098
18.86,-176.271
18.88,-176.444
18.9,-176.617
18.92,-176.79
18.94,-176.963
18.96,-177.136
18.98,-177.309
19,-177.482
19.02,-177.655
19.04,-177.828
19.06,-178.001
19.08,-178.173
19.1,-178.346
19.12,-178.519
19.14,-178.691
19.16,-178.864
19.18,-179.036
19.2,-179.209
19.22,-179.381
19.24,-179.553
19.26,-179.725
19.28,-179.898
19.3,-180.07
19.32,-180.242
19.34,-180.414
19.36,-180.586
19.38,-180.758
19.4,-180.93
19.42,-181.102
19.44,-181.274
19.46,-181.446
19.48,-181.617
19.5,-181.789
19.52,-181.961
19.54,-182.132
19.56,-182.304
19.58,-182.475
19.6,-182.647
19.62,-182.818
19.64,-182.989
19.66,-183.161
19.68,-183.332
19.7,-183.503
19.72,-183.674
19.74,-183.845
19.76,-184.017
19.78,-184.188
19.8,-184.358
19.82,-184.529
19.84,-184.7
19.86,-184.871
19.88,-185.042
19.9,-185.212
19.92,-185.383
19.94,-185.554
19.96,-185.724
19.98,-185.895
20,-186.065
20.02,-186.236
20.04,-186.406
20.06,-186.576
20.08,-186.746
20.1,-186.917
20.12,-187.087
20.14,-187.257
20.16,-187.427
20.18,-187.597
20.2,-187.767
20.22,-187.937
20.24,-188.107
20.26,-188.276
20.28,-188.446
20.3,-188.616
20.32,-188.785
20.34,-188.955
20.36,-189.125
20.38,-189.294
20.4,-189.463
20.42,-189.633
20.44,-189.802
20.46,-189.971
20.48,-190.141
20.5,-190.31
20.52,-190.479
20.54,-190.648
20.56,-190.817
20.58,-190.986
20.6,-191.155
20.62,-191.324
20.64,-191.492
20.66,-191.661
20.68,-191.83
20.7,-191.998
20.72,-192.167
20.74,-192.336
20.76,-192.504
20.78,-192.672
20.8,-192.841
20.82,-193.009
20.84,-193.177
20.86,-193.346
20.88,-193.514
20.9,-193.682
20.92,-193.85
20.94,-194.018
20.96,-194.186
20.98,-194.354
21,-194.522
21.02,-194.689
21.04,-194.857
21.06,-195.025
21.08,-195.192
21.1,-195.36
21.12,-195.527
21.14,-195.695
21.16,-195.862
21.18,-196.03
21.2,-196.197
21.22,-196.364
21.24,-196.531
21.26,-196.698
21.28,-196.865
21.3,-197.032
21.32,-197.199
21.34,-197.366
21.36,-197.533
21.38,-197.7
21.4,-197.867
21.42,-198.033
21.44,-198.2
21.46,-198.367
21.48,-198.533
21.5,-198.699
21.52,-198.866
21.54,-199.032
21.56,-199.198
21.58,-199.365
21.6,-199.531
21.62,-199.697
21.64,-199.863
21.66,-200.029
21.68,-200.195
21.7,-200.361
21.72,-200.527
21.74,-200.693
21.76,-200.858
21.78,-201.024
21.8,-201.19
21.82,-201.355
21.84,-201.521
21.86,-201.686
21.88,-201.851
21.9,-202.017
21.92,-202.182
21.94,-202.347
21.96,-202.512
21.98,-202.677
22,-202.842
22.02,-203.007
22.04,-203.172
22.06,-203.337
22.08,-203.502
22.1,-203.667
22.12,-203.831
22.14,-203.996
22.16,-204.161
22.18,-204.325
22.2,-204.49
22.22,-204.654
22.24,-204.818
22.26,-204.983
22.28,-205.147
22.3,-205.311
22.32,-205.475
22.34,-205.639
22.36,-205.803
22.38,-205.967
22.4,-206.131
22.42,-206.295
22.44,-206.458
22.46,-206.622
22.48,-206.786
22.5,-206.949
22.52,-207.113
22.54,-207.276
22.56,-207.44
22.58,-207.603
22.6,-207.766
22.62,-207.93
22.64,-208.093
22.66,-208.256
22.68,-208.419
22.7,-208.582
22.72,-208.745
22.74,-208.908
22.76,-209.07
22.78,-209.233
22.8,-209.396
22.82,-209.558
22.84,-209.721
22.86,-209.883
22.88,-210.046
22.9,-210.208
22.92,-210.37
22.94,-210.533
22.96,-210.695
22.98,-210.857
23,-211.019
23.02,-211.181
23.04,-211.343
23.06,-211.505
23.08,-211.667
23.1,-211.828
23.12,-211.99
23.14,-212.152
23.16,-212.313
23.18,-212.475
23.2,-212.636
23.22,-212.798
23.24,-212.959
23.26,-213.12
23.28,-213.281
23.3,-213.442
23.32,-213.604
23.34,-213.765
23.36,-213.925
23.38,-214.086
23.4,-214.247
23.42,-214.408
23.44,-214.569
23.46,-214.729
23.48,-214.89
23.5,-215.05
23.52,-215.211
23.54,-215.371
23.56,-215.531
23.58,-215.692
23.6,-215.852
23.62,-216.012
23.64,-216.172
23.66,-216.332
23.68,-216.492
23.7,-216.652
23.72,-216.812
23.74,-216.971
23.76,-217.131
23.78,-217.291
23.8,-217.45
23.82,-217.61
23.84,-217.769
